id,date,type,content,media_file
701431,2025-02-07T07:48:35+00:00,text,Yess you need to push more,
701430,2025-02-07T07:48:14+00:00,file,[FILE] 엉덩이 흔들기.gif.mp4,
701429,2025-02-07T07:48:11+00:00,text,Always,
701428,2025-02-07T07:47:32+00:00,sticker,[STICKER] BAADBQADqxUAAne5EFVphIn652slQAI,
701427,2025-02-07T07:47:26+00:00,text,Keep push all ants,
701426,2025-02-07T07:46:35+00:00,text,What will be the price 👀,
701425,2025-02-07T07:44:50+00:00,sticker,[STICKER] BAADBAADrBYAAqrekVP3UsHhCWYX6QI,
701424,2025-02-07T07:44:45+00:00,text,Good morning 🌞,
701423,2025-02-07T07:44:44+00:00,media,[OTHER MEDIA],
701422,2025-02-07T07:43:14+00:00,text,And when listing🤣,
701421,2025-02-07T07:40:58+00:00,text,Wen claiming,
701420,2025-02-07T07:39:27+00:00,text,You can also participate in that,
701419,2025-02-07T07:39:10+00:00,text,🧐,
701418,2025-02-07T07:39:08+00:00,text,I have something,
701417,2025-02-07T07:38:43+00:00,text,Why?,
701416,2025-02-07T07:38:31+00:00,text,Eyyow,
701415,2025-02-07T07:37:27+00:00,text,Dm want to talk with you,
701414,2025-02-07T07:35:06+00:00,text,We are here,
701413,2025-02-07T07:35:02+00:00,text,I don't know,
701412,2025-02-07T07:34:58+00:00,text,No silent 🥳,
701411,2025-02-07T07:34:54+00:00,text,Yeah?,
701410,2025-02-07T07:33:46+00:00,text,Why so silent,
701409,2025-02-07T07:29:42+00:00,text,Soon,
701408,2025-02-07T07:29:31+00:00,text,Bro,
701407,2025-02-07T07:24:02+00:00,text,Good morning sir,
701406,2025-02-07T07:23:48+00:00,text,Thanks buddy,
701405,2025-02-07T07:05:24+00:00,text,😁😁,
701404,2025-02-07T07:05:09+00:00,text,"All is step after another,",
701403,2025-02-07T07:04:29+00:00,text,SuperEx to the moon,
701402,2025-02-07T07:04:26+00:00,text,Price $10,
701401,2025-02-07T07:04:17+00:00,text,Moon,
701400,2025-02-07T07:04:02+00:00,text,Hello dude,
701399,2025-02-07T07:03:57+00:00,text,Yeah so how do you feel about the airdrop coming soon 🚀🤩,
701398,2025-02-07T07:03:32+00:00,text,Ohh same here 🤭,
701397,2025-02-07T07:03:31+00:00,text,Sorry it's Mistake haha,
701396,2025-02-07T07:03:18+00:00,text,Birthday it’s not today my good friend,
701395,2025-02-07T07:03:18+00:00,text,I mean Friday*,
701394,2025-02-07T07:02:47+00:00,text,Happy birthday Michael,
701393,2025-02-07T07:02:38+00:00,text,Ooo,
701392,2025-02-07T07:01:56+00:00,text,Good morning everyone,
701391,2025-02-07T07:01:21+00:00,text,Antony freind I don't know,
701390,2025-02-07T07:00:48+00:00,sticker,[STICKER] BAADBAADkiUAAnAjAAFT_UtPpMLgN08C,
701389,2025-02-07T07:00:45+00:00,text,"Stay tuned, mate! 👀 Big things take time keep the hype up! 🚀🔥",
701388,2025-02-07T06:59:49+00:00,text,When binance sir?,
701387,2025-02-07T06:59:12+00:00,text,Who is trisha bro,
701386,2025-02-07T06:57:20+00:00,text,Hi Trisha,
701385,2025-02-07T06:53:36+00:00,text,I step my foot Nagercoil bro after that I go to Chennai,
