id,date,type,content,media_file
838142,2025-02-16T07:51:01+00:00,text,Strong community and strong team,
838141,2025-02-16T07:50:44+00:00,text,Sure sir,
838140,2025-02-16T07:50:39+00:00,text,👀👀👀😋,
838139,2025-02-16T07:50:35+00:00,text,Happy happy happy,
838138,2025-02-16T07:50:25+00:00,text,Happy 🤣,
838137,2025-02-16T07:50:20+00:00,sticker,[STICKER] BAADBQADHxQAAoKGOFU5byr-s28tXQI,media/sticker_838137.webp
838136,2025-02-16T07:50:12+00:00,text,Beleve Hopper project,
838135,2025-02-16T07:50:10+00:00,text,Stay focused on the main goal,
838134,2025-02-16T07:50:06+00:00,text,Good for me 😋🤣,
838133,2025-02-16T07:50:04+00:00,text,Always active here,
838132,2025-02-16T07:49:55+00:00,text,I gues 🤣,
838131,2025-02-16T07:49:44+00:00,text,very nice,
838130,2025-02-16T07:49:40+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,media/sticker_838130.webp
838129,2025-02-16T07:49:37+00:00,text,14 Day season,
838128,2025-02-16T07:49:26+00:00,text,100 more seasons,
838127,2025-02-16T07:49:24+00:00,sticker,[STICKER] BAADBQAD4BUAAuXACFeCKFalvLNJbwI,media/sticker_838127.webp
838126,2025-02-16T07:49:23+00:00,text,"The current season of the chat event will run until Feb 28, 09:00 UTC. Stay active and keep chatting for your chance to win! 🎉",
838125,2025-02-16T07:49:21+00:00,text,Hold Hopper 😽,
838124,2025-02-16T07:49:15+00:00,text,We r winners 🏆😄,
838123,2025-02-16T07:49:09+00:00,sticker,[STICKER] CAADBAAD2wcAAm2XuFGYPUTyal0iaAI,media/sticker_838123.webp
838122,2025-02-16T07:49:08+00:00,text,hold Hopper,
838121,2025-02-16T07:49:02+00:00,text,Hopefully,
838120,2025-02-16T07:49:01+00:00,text,keep the spirit up to the top,
838119,2025-02-16T07:48:59+00:00,file,[FILE] 112121.gif.mp4,media/video_838119.mp4
838118,2025-02-16T07:48:56+00:00,text,Best friend,
838117,2025-02-16T07:48:55+00:00,text,Up up up 1+1+1+1,
838116,2025-02-16T07:48:54+00:00,text,"⚠️ Rember:
Don't spam, avoid clicking on unknown links and no hate speech.
Let's keep the atmosphere fun and peaceful 🏳️",
838115,2025-02-16T07:48:51+00:00,text,"It's very long, just enjoy it sir.🤣",
838114,2025-02-16T07:48:50+00:00,sticker,[STICKER] CAADBQADAQcAAhnxaFY0Ge8nYnvs5AI,media/sticker_838114.webp
838113,2025-02-16T07:48:46+00:00,sticker,[STICKER] BAADBQADCBIAAkXeEFVS365mi8UsyQI,media/sticker_838113.webp
838112,2025-02-16T07:48:44+00:00,text,Let's guuu,
838111,2025-02-16T07:48:43+00:00,text,Up up,
838110,2025-02-16T07:48:37+00:00,text,Keep supporting the Hopper community 💕,
838109,2025-02-16T07:48:28+00:00,text,Exactly sir,
838108,2025-02-16T07:48:28+00:00,text,Hopper is the best community,
838107,2025-02-16T07:48:22+00:00,text,Haha he died because he spread malicious links,
838106,2025-02-16T07:48:19+00:00,sticker,[STICKER] CAADBQADFxQAAsKVkFUAAXH2ZoGwrvYC,media/sticker_838106.webp
838105,2025-02-16T07:48:16+00:00,text,Until which season?,
838104,2025-02-16T07:48:15+00:00,text,Wana come anyone,
838103,2025-02-16T07:48:13+00:00,text,Go go go,
838102,2025-02-16T07:48:10+00:00,text,To the moon guys,
838101,2025-02-16T07:48:08+00:00,text,Lift on Lambo 😎,
838100,2025-02-16T07:48:01+00:00,text,Let's go,
838099,2025-02-16T07:48:01+00:00,text,Don't stay earth go moon now,
838098,2025-02-16T07:47:54+00:00,text,Yaa you too,
838097,2025-02-16T07:47:48+00:00,text,We are always her for lift 😝,
838096,2025-02-16T07:47:48+00:00,text,Keep lifting,
838095,2025-02-16T07:47:45+00:00,text,Have a good day,
838094,2025-02-16T07:47:43+00:00,text,Sure mate,
838093,2025-02-16T07:47:40+00:00,sticker,[STICKER] CAADBQAD3xYAAlyEiVVNBzvAYKEFIQI,media/sticker_838093.webp
838092,2025-02-16T07:47:38+00:00,text,Very important project,
838091,2025-02-16T07:47:35+00:00,text,Yeah bro we all getting active,
838090,2025-02-16T07:47:34+00:00,text,Yes mate 🙌,
838089,2025-02-16T07:47:30+00:00,text,Don't die haha,
838088,2025-02-16T07:47:29+00:00,file,[FILE] animation.gif.mp4,media/video_838088.mp4
838087,2025-02-16T07:47:29+00:00,text,No miss guys,
838086,2025-02-16T07:47:24+00:00,text,Let's active guys,
838085,2025-02-16T07:47:22+00:00,text,No bro I'm poomr currently,
838084,2025-02-16T07:47:22+00:00,text,whyy siss?,
838083,2025-02-16T07:47:20+00:00,text,Let’s keep the LIFTING UP! 🔥🎉,
